District code,District name,Category,Student group,2022-2023 student count - year to date,2022-2023 attendance rate - year to date,2021-2022 student count,2021-2022 attendance rate,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Reporting period,Update date
20011,Ansonia School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1394,0.9142,1394,0.9118,1501,0.8759,1459,0.9338,May-23,6/16/23
20011,Ansonia School District,English Learners,English Learners,163,0.9351,142,0.9256,124,0.8965,129,0.9506,May-23,6/16/23
20011,Ansonia School District,Race/Ethnicity,All other races,179,0.9172,151,0.9344,164,0.9157,170,0.9451,May-23,6/16/23
20011,Ansonia School District,Race/Ethnicity,Black or African American,457,0.9279,436,0.9191,421,0.8705,434,0.9414,May-23,6/16/23
20011,Ansonia School District,Race/Ethnicity,Hispanic/Latino of any race,1050,0.9198,986,0.9184,947,0.8815,923,0.9366,May-23,6/16/23
20011,Ansonia School District,Race/Ethnicity,White,542,0.9295,573,0.9301,621,0.9215,658,0.9468,May-23,6/16/23
20011,Ansonia School District,High Needs,Students Without High Needs,681,0.9416,614,0.9468,532,0.9397,587,0.9568,May-23,6/16/23
20011,Ansonia School District,High Needs,Students With High Needs,1547,0.916,1532,0.9132,1621,0.8784,1598,0.9355,May-23,6/16/23
30011,Ashford School District,,All Students,325,0.9286,342,0.9106,344,0.9551,348,0.9585,May-23,6/16/23
30011,Ashford School District,Students With Disabilities,Students With Disabilities,46,0.9163,53,0.9061,47,0.9567,56,0.9468,May-23,6/16/23
30011,Ashford School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,103,0.9178,118,0.896,125,0.9315,130,0.9477,May-23,6/16/23
30011,Ashford School District,Race/Ethnicity,Hispanic/Latino of any race,23,0.9002,30,0.8906,27,0.9404,22,0.9353,May-23,6/16/23
30011,Ashford School District,Race/Ethnicity,White,278,0.9326,284,0.9156,292,0.96,298,0.9607,May-23,6/16/23
30011,Ashford School District,High Needs,Students Without High Needs,190,0.9367,188,0.9192,188,0.9694,182,0.9666,May-23,6/16/23
30011,Ashford School District,High Needs,Students With High Needs,135,0.9181,154,0.9,156,0.9375,166,0.9496,May-23,6/16/23
40011,Avon School District,,All Students,3056,0.945,3057,0.9469,3099,0.9621,3138,0.9583,May-23,6/16/23
40011,Avon School District,Students With Disabilities,Students With Disabilities,337,0.9172,358,0.9184,337,0.9239,330,0.9421,May-23,6/16/23
40011,Avon School District,Free/Reduced Lunch,Free Meal Eligible,256,0.9105,242,0.9185,249,0.9155,243,0.9389,May-23,6/16/23
40011,Avon School District,Free/Reduced Lunch,Reduced Price Meal Eligible,66,0.9172,57,0.9052,51,0.9395,47,0.9365,May-23,6/16/23
40011,Avon School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,322,0.9118,299,0.9159,300,0.9194,290,0.9385,May-23,6/16/23
40011,Avon School District,English Learners,English Learners,80,0.9401,81,0.9416,93,0.9589,104,0.9435,May-23,6/16/23
40011,Avon School District,Race/Ethnicity,All other races,721,0.9515,713,0.9551,738,0.9764,755,0.9643,May-23,6/16/23
40011,Avon School District,Race/Ethnicity,Black or African American,173,0.9249,179,0.9255,172,0.9311,162,0.9478,May-23,6/16/23
40011,Avon School District,Race/Ethnicity,Hispanic/Latino of any race,238,0.9337,221,0.9366,228,0.9403,215,0.952,May-23,6/16/23
40011,Avon School District,Race/Ethnicity,White,1924,0.9457,1944,0.9471,1961,0.9619,2006,0.9576,May-23,6/16/23
40011,Avon School District,High Needs,Students Without High Needs,2427,0.9513,2431,0.9531,2468,0.9699,2531,0.9622,May-23,6/16/23
40011,Avon School District,High Needs,Students With High Needs,629,0.921,626,0.9226,631,0.9313,607,0.9417,May-23,6/16/23
50011,Barkhamsted School District,,All Students,195,0.9355,199,0.9329,193,0.9699,199,0.9573,May-23,6/16/23
50011,Barkhamsted School District,Students With Disabilities,Students With Disabilities,41,0.9319,47,0.9208,45,0.957,56,0.9536,May-23,6/16/23
50011,Barkhamsted School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,42,0.9318,50,0.9296,46,0.9631,54,0.9533,May-23,6/16/23
50011,Barkhamsted School District,Race/Ethnicity,White,176,0.9356,176,0.9327,175,0.9695,182,0.9565,May-23,6/16/23
50011,Barkhamsted School District,High Needs,Students Without High Needs,121,0.9384,117,0.9376,117,0.9766,113,0.9614,May-23,6/16/23
50011,Barkhamsted School District,High Needs,Students With High Needs,74,0.9308,82,0.9261,76,0.9593,86,0.9519,May-23,6/16/23
70011,Berlin School District,,All Students,2650,0.9407,2613,0.9386,2679,0.96,2700,0.9562,May-23,6/16/23
70011,Berlin School District,Students With Disabilities,Students With Disabilities,384,0.9203,401,0.913,413,0.9322,398,0.9356,May-23,6/16/23
70011,Berlin School District,Free/Reduced Lunch,Free Meal Eligible,486,0.9166,436,0.9111,492,0.9199,504,0.9379,May-23,6/16/23
70011,Berlin School District,Free/Reduced Lunch,Reduced Price Meal Eligible,125,0.936,98,0.925,97,0.9561,83,0.9543,May-23,6/16/23
70011,Berlin School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,611,0.9205,534,0.9137,589,0.926,587,0.9403,May-23,6/16/23
70011,Berlin School District,English Learners,English Learners,110,0.9299,97,0.9247,106,0.9313,96,0.9413,May-23,6/16/23
70011,Berlin School District,Race/Ethnicity,All other races,191,0.9442,192,0.9439,199,0.9594,190,0.9627,May-23,6/16/23
70011,Berlin School District,Race/Ethnicity,Black or African American,79,0.9328,64,0.9309,77,0.9385,63,0.9473,May-23,6/16/23
70011,Berlin School District,Race/Ethnicity,Hispanic/Latino of any race,334,0.9205,319,0.9129,321,0.9274,313,0.9365,May-23,6/16/23
70011,Berlin School District,Race/Ethnicity,White,2046,0.9439,2038,0.9423,2082,0.9658,2134,0.9587,May-23,6/16/23
70011,Berlin School District,High Needs,Students Without High Needs,1765,0.9483,1777,0.9488,1797,0.9719,1838,0.9629,May-23,6/16/23
70011,Berlin School District,High Needs,Students With High Needs,885,0.9256,836,0.9168,882,0.9357,862,0.9416,May-23,6/16/23
80011,Bethany School District,,All Students,400,0.9485,391,0.9564,356,0.965,354,0.9573,May-23,6/16/23
80011,Bethany School District,Students With Disabilities,Students With Disabilities,52,0.9431,55,0.9496,49,0.9534,46,0.9525,May-23,6/16/23
80011,Bethany School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,47,0.9316,46,0.9455,48,0.9196,49,0.9406,May-23,6/16/23
80011,Bethany School District,English Learners,English Learners,33,0.9473,29,0.946,,,,,May-23,6/16/23
80011,Bethany School District,Race/Ethnicity,All other races,42,0.9532,42,0.9543,,,28,0.9706,May-23,6/16/23
80011,Bethany School District,Race/Ethnicity,White,315,0.9483,307,0.958,288,0.9659,296,0.9584,May-23,6/16/23
80011,Bethany School District,High Needs,Students Without High Needs,287,0.9518,280,0.9597,259,0.9734,260,0.961,May-23,6/16/23
80011,Bethany School District,High Needs,Students With High Needs,113,0.9402,111,0.9481,97,0.9421,94,0.947,May-23,6/16/23
90011,Bethel School District,,All Students,3131,0.9392,3102,0.9438,3052,0.9508,3080,0.9563,May-23,6/16/23
90011,Bethel School District,Students With Disabilities,Students With Disabilities,459,0.9235,457,0.9251,414,0.9092,387,0.9432,May-23,6/16/23
90011,Bethel School District,Free/Reduced Lunch,Free Meal Eligible,714,0.9246,696,0.9275,747,0.9212,772,0.9476,May-23,6/16/23
90011,Bethel School District,Free/Reduced Lunch,Reduced Price Meal Eligible,202,0.9375,160,0.9478,183,0.9531,215,0.9578,May-23,6/16/23
90011,Bethel School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,916,0.9274,856,0.9313,930,0.9276,987,0.9498,May-23,6/16/23
90011,Bethel School District,English Learners,English Learners,184,0.9345,203,0.9319,195,0.923,222,0.9506,May-23,6/16/23
90011,Bethel School District,Race/Ethnicity,All other races,396,0.9482,384,0.9504,364,0.9648,359,0.962,May-23,6/16/23
90011,Bethel School District,Race/Ethnicity,Black or African American,134,0.945,128,0.9465,110,0.9454,101,0.9552,May-23,6/16/23
90011,Bethel School District,Race/Ethnicity,Hispanic/Latino of any race,805,0.9376,750,0.9409,693,0.9358,685,0.9577,May-23,6/16/23
90011,Bethel School District,Race/Ethnicity,White,1796,0.9375,1840,0.9434,1885,0.9538,1935,0.9548,May-23,6/16/23
90011,Bethel School District,High Needs,Students Without High Needs,1861,0.9467,1866,0.9517,1799,0.9664,1805,0.9608,May-23,6/16/23
90011,Bethel School District,High Needs,Students With High Needs,1270,0.9283,1236,0.9317,1253,0.9278,1275,0.9498,May-23,6/16/23
110011,Bloomfield School District,,All Students,1697,0.9295,1732,0.9328,1756,0.938,1908,0.9532,May-23,6/16/23
110011,Bloomfield School District,Students With Disabilities,Students With Disabilities,337,0.917,383,0.9177,369,0.9083,364,0.9426,May-23,6/16/23
110011,Bloomfield School District,Free/Reduced Lunch,Free Meal Eligible,838,0.9178,858,0.9179,847,0.9196,1009,0.9471,May-23,6/16/23
110011,Bloomfield School District,Free/Reduced Lunch,Reduced Price Meal Eligible,167,0.9333,145,0.9377,128,0.9497,198,0.9569,May-23,6/16/23
110011,Bloomfield School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1005,0.9204,1003,0.9208,975,0.9236,1207,0.9487,May-23,6/16/23
110011,Bloomfield School District,English Learners,English Learners,94,0.9278,93,0.9238,77,0.9236,78,0.9424,May-23,6/16/23
110011,Bloomfield School District,Race/Ethnicity,All other races,109,0.9084,103,0.9304,87,0.9372,98,0.9485,May-23,6/16/23
110011,Bloomfield School District,Race/Ethnicity,Black or African American,1237,0.9364,1266,0.9375,1350,0.9422,1476,0.9577,May-23,6/16/23
110011,Bloomfield School District,Race/Ethnicity,Hispanic/Latino of any race,286,0.9131,299,0.9169,253,0.9147,255,0.934,May-23,6/16/23
110011,Bloomfield School District,Race/Ethnicity,White,65,0.9077,64,0.9156,66,0.9419,79,0.9372,May-23,6/16/23
110011,Bloomfield School District,High Needs,Students Without High Needs,557,0.9434,576,0.9509,628,0.9589,587,0.9625,May-23,6/16/23
110011,Bloomfield School District,High Needs,Students With High Needs,1140,0.923,1156,0.9237,1128,0.9264,1321,0.9489,May-23,6/16/23
120011,Bolton School District,,All Students,724,0.9478,743,0.9421,750,0.948,767,0.949,May-23,6/16/23
120011,Bolton School District,Students With Disabilities,Students With Disabilities,83,0.9316,81,0.9068,83,0.8797,87,0.9303,May-23,6/16/23
120011,Bolton School District,Free/Reduced Lunch,Free Meal Eligible,148,0.9251,152,0.8999,153,0.869,170,0.9344,May-23,6/16/23
120011,Bolton School District,Free/Reduced Lunch,Reduced Price Meal Eligible,21,0.9329,20,0.9221,24,0.884,22,0.9229,May-23,6/16/23
120011,Bolton School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,169,0.9262,172,0.9025,177,0.871,192,0.9331,May-23,6/16/23
120011,Bolton School District,Race/Ethnicity,All other races,53,0.9493,51,0.9417,53,0.9248,49,0.9428,May-23,6/16/23
120011,Bolton School District,Race/Ethnicity,Black or African American,40,0.9239,35,0.9196,36,0.8662,41,0.9379,May-23,6/16/23
120011,Bolton School District,Race/Ethnicity,Hispanic/Latino of any race,69,0.9364,88,0.9122,81,0.9086,88,0.9444,May-23,6/16/23
120011,Bolton School District,Race/Ethnicity,White,562,0.9508,569,0.9482,580,0.9606,589,0.951,May-23,6/16/23
120011,Bolton School District,High Needs,Students Without High Needs,509,0.9553,525,0.9563,520,0.9745,520,0.9559,May-23,6/16/23
120011,Bolton School District,High Needs,Students With High Needs,215,0.9303,218,0.9083,230,0.8864,247,0.9344,May-23,6/16/23
130011,Bozrah School District,,All Students,150,0.9426,158,0.9476,163,0.966,170,0.9573,May-23,6/16/23
130011,Bozrah School District,Students With Disabilities,Students With Disabilities,24,0.9292,31,0.9261,29,0.9374,30,0.9326,May-23,6/16/23
130011,Bozrah School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,64,0.9367,70,0.9445,64,0.9582,70,0.9483,May-23,6/16/23
130011,Bozrah School District,Race/Ethnicity,Hispanic/Latino of any race,22,0.948,24,0.9393,,,,,May-23,6/16/23
130011,Bozrah School District,Race/Ethnicity,White,114,0.9413,117,0.9488,129,0.9684,132,0.9569,May-23,6/16/23
130011,Bozrah School District,High Needs,Students Without High Needs,74,0.9497,71,0.9538,82,0.9738,85,0.9667,May-23,6/16/23
130011,Bozrah School District,High Needs,Students With High Needs,76,0.9357,87,0.9422,81,0.9581,85,0.9478,May-23,6/16/23
140011,Branford School District,,All Students,2522,0.9278,2527,0.9298,2531,0.9544,2678,0.9658,May-23,6/16/23
140011,Branford School District,Students With Disabilities,Students With Disabilities,306,0.9198,328,0.9181,335,0.9365,353,0.9556,May-23,6/16/23
140011,Branford School District,Free/Reduced Lunch,Free Meal Eligible,742,0.9046,705,0.9063,741,0.9248,810,0.9614,May-23,6/16/23
140011,Branford School District,Free/Reduced Lunch,Reduced Price Meal Eligible,242,0.934,159,0.9339,143,0.9538,176,0.9632,May-23,6/16/23
140011,Branford School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,984,0.9118,864,0.9113,884,0.9296,986,0.9617,May-23,6/16/23
140011,Branford School District,English Learners,English Learners,186,0.9362,180,0.9379,156,0.9548,151,0.9598,May-23,6/16/23
140011,Branford School District,Race/Ethnicity,All other races,309,0.9369,288,0.9419,276,0.965,293,0.97,May-23,6/16/23
140011,Branford School District,Race/Ethnicity,Black or African American,103,0.9343,99,0.9306,105,0.9396,101,0.9714,May-23,6/16/23
140011,Branford School District,Race/Ethnicity,Hispanic/Latino of any race,398,0.9151,377,0.9106,346,0.9238,342,0.9561,May-23,6/16/23
140011,Branford School District,Race/Ethnicity,White,1712,0.9287,1763,0.9318,1804,0.9595,1942,0.9665,May-23,6/16/23
140011,Branford School District,High Needs,Students Without High Needs,1336,0.9385,1433,0.9394,1423,0.9685,1478,0.9693,May-23,6/16/23
140011,Branford School District,High Needs,Students With High Needs,1186,0.9158,1094,0.9171,1108,0.9361,1200,0.9614,May-23,6/16/23
150011,Bridgeport School District,,All Students,18508,0.9051,18391,0.9166,18228,0.9139,19423,0.9367,May-23,6/16/23
150011,Bridgeport School District,Homelessness,Students Experiencing Homelessness,55,0.8485,220,0.8664,144,0.8288,107,0.8635,May-23,6/16/23
150011,Bridgeport School District,Students With Disabilities,Students With Disabilities,3319,0.8795,3598,0.8959,3584,0.8838,3648,0.9196,May-23,6/16/23
150011,Bridgeport School District,Free/Reduced Lunch,Free Meal Eligible,13227,0.8992,12616,0.9084,11574,0.8991,12851,0.9287,May-23,6/16/23
150011,Bridgeport School District,Free/Reduced Lunch,Reduced Price Meal Eligible,970,0.9242,1196,0.9334,1232,0.9401,1364,0.9565,May-23,6/16/23
150011,Bridgeport School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,14197,0.901,13812,0.9106,12806,0.9031,14215,0.9314,May-23,6/16/23
150011,Bridgeport School District,English Learners,English Learners,4781,0.9174,4827,0.9254,4007,0.9185,4240,0.9433,May-23,6/16/23
150011,Bridgeport School District,Race/Ethnicity,All other races,827,0.9212,807,0.9347,782,0.9486,840,0.9538,May-23,6/16/23
150011,Bridgeport School District,Race/Ethnicity,Black or African American,5292,0.9003,5516,0.9166,5777,0.9081,6312,0.9369,May-23,6/16/23
150011,Bridgeport School District,Race/Ethnicity,Hispanic/Latino of any race,10791,0.9049,10330,0.9144,9735,0.9115,9977,0.934,May-23,6/16/23
150011,Bridgeport School District,Race/Ethnicity,White,1598,0.9146,1738,0.9215,1934,0.929,2294,0.9416,May-23,6/16/23
150011,Bridgeport School District,High Needs,Students Without High Needs,2982,0.924,2644,0.9397,3319,0.9506,3106,0.9555,May-23,6/16/23
150011,Bridgeport School District,High Needs,Students With High Needs,15526,0.9021,15747,0.9127,14909,0.9057,16317,0.9331,May-23,6/16/23
170011,Bristol School District,,All Students,7554,0.9246,7436,0.9305,7502,0.9139,7684,0.9482,May-23,6/16/23
170011,Bristol School District,Homelessness,Students Experiencing Homelessness,98,0.8736,153,0.88,121,0.8279,116,0.8913,May-23,6/16/23
170011,Bristol School District,Students With Disabilities,Students With Disabilities,1471,0.9038,1502,0.909,1534,0.8713,1552,0.9294,May-23,6/16/23
170011,Bristol School District,Free/Reduced Lunch,Free Meal Eligible,3429,0.909,3535,0.9117,3564,0.8748,3721,0.9368,May-23,6/16/23
170011,Bristol School District,Free/Reduced Lunch,Reduced Price Meal Eligible,603,0.9315,408,0.9332,437,0.9219,412,0.951,May-23,6/16/23
170011,Bristol School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,4032,0.9124,3943,0.9139,4001,0.88,4133,0.9382,May-23,6/16/23
170011,Bristol School District,English Learners,English Learners,461,0.9178,467,0.9171,422,0.8892,440,0.9428,May-23,6/16/23
170011,Bristol School District,Race/Ethnicity,All other races,669,0.9268,625,0.9312,610,0.9208,623,0.9564,May-23,6/16/23
170011,Bristol School District,Race/Ethnicity,Black or African American,608,0.9287,571,0.9317,559,0.8983,561,0.9487,May-23,6/16/23
170011,Bristol School District,Race/Ethnicity,Hispanic/Latino of any race,2801,0.9116,2615,0.9166,2495,0.8791,2430,0.9401,May-23,6/16/23
170011,Bristol School District,Race/Ethnicity,White,3476,0.9338,3625,0.9399,3838,0.9372,4070,0.9515,May-23,6/16/23
170011,Bristol School District,High Needs,Students Without High Needs,2931,0.9417,2895,0.952,2922,0.9577,2977,0.9618,May-23,6/16/23
170011,Bristol School District,High Needs,Students With High Needs,4623,0.9139,4541,0.9163,4580,0.8853,4707,0.9393,May-23,6/16/23
180011,Brookfield School District,,All Students,2555,0.9384,2545,0.9416,2531,0.9624,2574,0.9706,May-23,6/16/23
180011,Brookfield School District,Students With Disabilities,Students With Disabilities,355,0.9182,381,0.926,364,0.9406,369,0.9673,May-23,6/16/23
180011,Brookfield School District,Free/Reduced Lunch,Free Meal Eligible,413,0.9235,410,0.9202,412,0.9376,447,0.9669,May-23,6/16/23
180011,Brookfield School District,Free/Reduced Lunch,Reduced Price Meal Eligible,152,0.9478,118,0.9395,111,0.9553,91,0.9693,May-23,6/16/23
180011,Brookfield School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,565,0.93,528,0.9244,523,0.9414,538,0.9673,May-23,6/16/23
180011,Brookfield School District,English Learners,English Learners,106,0.9408,108,0.9401,94,0.9491,115,0.9708,May-23,6/16/23
180011,Brookfield School District,Race/Ethnicity,All other races,234,0.9434,242,0.9501,248,0.9752,233,0.9794,May-23,6/16/23
180011,Brookfield School District,Race/Ethnicity,Black or African American,77,0.9398,74,0.9518,65,0.9631,57,0.9735,May-23,6/16/23
180011,Brookfield School District,Race/Ethnicity,Hispanic/Latino of any race,415,0.9305,366,0.9298,323,0.9475,299,0.967,May-23,6/16/23
180011,Brookfield School District,Race/Ethnicity,White,1829,0.9394,1863,0.9424,1895,0.9631,1985,0.97,May-23,6/16/23
180011,Brookfield School District,High Needs,Students Without High Needs,1729,0.9427,1718,0.9475,1726,0.9701,1740,0.9719,May-23,6/16/23
180011,Brookfield School District,High Needs,Students With High Needs,826,0.9293,827,0.9293,805,0.9457,834,0.9677,May-23,6/16/23
190011,Brooklyn School District,,All Students,805,0.9101,803,0.9227,775,0.9586,809,0.9526,May-23,6/16/23
190011,Brooklyn School District,Students With Disabilities,Students With Disabilities,144,0.8818,155,0.8995,128,0.9202,127,0.9348,May-23,6/16/23
190011,Brooklyn School District,Free/Reduced Lunch,Free Meal Eligible,247,0.8911,240,0.8951,237,0.931,270,0.9453,May-23,6/16/23
190011,Brooklyn School District,Free/Reduced Lunch,Reduced Price Meal Eligible,54,0.913,55,0.9164,51,0.9657,66,0.9457,May-23,6/16/23
190011,Brooklyn School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,301,0.8951,295,0.8991,288,0.9373,336,0.9454,May-23,6/16/23
190011,Brooklyn School District,Race/Ethnicity,Hispanic/Latino of any race,97,0.8971,89,0.8935,96,0.9472,91,0.9449,May-23,6/16/23
190011,Brooklyn School District,Race/Ethnicity,White,633,0.9117,635,0.9261,602,0.9597,626,0.9541,May-23,6/16/23
190011,Brooklyn School District,High Needs,Students Without High Needs,437,0.9242,439,0.9376,439,0.9737,431,0.9596,May-23,6/16/23
190011,Brooklyn School District,High Needs,Students With High Needs,368,0.8936,364,0.9044,336,0.9385,378,0.9446,May-23,6/16/23
210011,Canaan School District,,All Students,74,0.9399,77,0.9415,72,0.9667,69,0.9607,May-23,6/16/23
210011,Canaan School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,25,0.9296,33,0.942,23,0.9488,22,0.9531,May-23,6/16/23
210011,Canaan School District,Race/Ethnicity,White,67,0.9401,,,68,0.9695,64,0.9601,May-23,6/16/23
210011,Canaan School District,High Needs,Students Without High Needs,46,0.9441,39,0.939,46,0.9739,41,0.9618,May-23,6/16/23
210011,Canaan School District,High Needs,Students With High Needs,28,0.9336,38,0.9442,26,0.9544,28,0.9592,May-23,6/16/23
220011,Canterbury School District,,All Students,429,0.9434,427,0.9596,414,0.958,431,0.9593,May-23,6/16/23
220011,Canterbury School District,Students With Disabilities,Students With Disabilities,46,0.9317,49,0.9557,50,0.9497,54,0.9467,May-23,6/16/23
220011,Canterbury School District,Free/Reduced Lunch,Free Meal Eligible,97,0.9324,102,0.9568,84,0.9449,142,0.9482,May-23,6/16/23
220011,Canterbury School District,Free/Reduced Lunch,Reduced Price Meal Eligible,32,0.939,34,0.942,38,0.9488,29,0.9607,May-23,6/16/23
220011,Canterbury School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,129,0.9341,136,0.953,122,0.9461,171,0.9504,May-23,6/16/23
220011,Canterbury School District,Race/Ethnicity,Hispanic/Latino of any race,45,0.9334,37,0.957,34,0.9243,28,0.9473,May-23,6/16/23
220011,Canterbury School District,Race/Ethnicity,White,371,0.9446,382,0.9599,368,0.9606,387,0.9602,May-23,6/16/23
220011,Canterbury School District,High Needs,Students Without High Needs,275,0.9481,266,0.9624,259,0.9638,232,0.9658,May-23,6/16/23
220011,Canterbury School District,High Needs,Students With High Needs,154,0.9352,161,0.9549,155,0.9481,199,0.9516,May-23,6/16/23
230011,Canton School District,,All Students,1489,0.9317,1461,0.9354,1509,0.9503,1553,0.9482,May-23,6/16/23
230011,Canton School District,Students With Disabilities,Students With Disabilities,246,0.9041,251,0.9037,220,0.932,219,0.9397,May-23,6/16/23
230011,Canton School District,Free/Reduced Lunch,Free Meal Eligible,183,0.907,,,,,194,0.942,May-23,6/16/23
230011,Canton School District,Free/Reduced Lunch,Reduced Price Meal Eligible,33,0.9131,,,,,30,0.9521,May-23,6/16/23
230011,Canton School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,216,0.9079,265,0.9115,254,0.9241,224,0.9434,May-23,6/16/23
230011,Canton School District,Race/Ethnicity,All other races,81,0.9298,79,0.9296,84,0.9564,79,0.9421,May-23,6/16/23
230011,Canton School District,Race/Ethnicity,Black or African American,100,0.907,87,0.8988,96,0.9076,93,0.9324,May-23,6/16/23
230011,Canton School District,Race/Ethnicity,Hispanic/Latino of any race,116,0.9102,96,0.9163,100,0.9305,117,0.9374,May-23,6/16/23
230011,Canton School District,Race/Ethnicity,White,1192,0.936,1199,0.94,1229,0.9548,1264,0.9507,May-23,6/16/23
230011,Canton School District,High Needs,Students Without High Needs,1076,0.9409,1012,0.9454,1100,0.9577,1145,0.9498,May-23,6/16/23
230011,Canton School District,High Needs,Students With High Needs,413,0.9082,449,0.913,409,0.9301,408,0.9437,May-23,6/16/23
240011,Chaplin School District,,All Students,132,0.9339,143,0.932,128,0.9503,125,0.9671,May-23,6/16/23
240011,Chaplin School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,60,0.9382,71,0.9287,54,0.9433,62,0.9618,May-23,6/16/23
240011,Chaplin School District,Race/Ethnicity,White,105,0.9301,121,0.9338,112,0.9531,107,0.9671,May-23,6/16/23
240011,Chaplin School District,High Needs,Students Without High Needs,67,0.9293,66,0.9379,68,0.9566,54,0.9731,May-23,6/16/23
240011,Chaplin School District,High Needs,Students With High Needs,65,0.9386,77,0.9269,60,0.943,71,0.9621,May-23,6/16/23
250011,Cheshire School District,,All Students,4117,0.9421,4119,0.9485,4048,0.9712,4099,0.957,May-23,6/16/23
250011,Cheshire School District,Students With Disabilities,Students With Disabilities,523,0.9187,541,0.9205,540,0.9368,533,0.9331,May-23,6/16/23
